farmer_id,district,lat,lon,crop_type,date,cloud_pct,source,ndvi_mean,ndvi_std,image_path,channels,valid,biomass_label,field_area_ha
AMR_0001,Amritsar,31.710708,74.855186,rice,2023-11-03,0.0,cached,0.2655,0.1406,images\AMR_0001_2023-11-03.npy,5,True,2.134,4.34
AMR_0002,Amritsar,31.52037,75.005474,rice,2023-11-23,0.0,cached,,,images\AMR_0002_2023-11-23.npy,5,True,,4.69
AMR_0003,Amritsar,31.714098,74.768172,rice,2023-11-22,0.0,cached,0.148,0.0667,images\AMR_0003_2023-11-22.npy,5,True,1.443,2.54
AMR_0004,Amritsar,31.753494,74.912582,rice,2023-11-04,0.0,cached,0.2012,0.1279,images\AMR_0004_2023-11-04.npy,5,True,1.92,5.03
AMR_0005,Amritsar,31.618156,74.795927,rice,2023-10-19,0.0,cached,0.1992,0.1278,images\AMR_0005_2023-10-19.npy,5,True,1.769,0.85
AMR_0006,Amritsar,31.725737,74.909166,rice,2023-11-09,0.0,cached,0.2167,0.1341,images\AMR_0006_2023-11-09.npy,5,True,1.872,4.67
AMR_0007,Amritsar,31.593267,75.004095,rice,2023-11-04,0.0,cached,,,images\AMR_0007_2023-11-04.npy,5,True,,4.78
AMR_0008,Amritsar,31.548499,74.862982,rice,2023-11-25,0.0,cached,,,images\AMR_0008_2023-11-25.npy,5,True,,0.74
AMR_0009,Amritsar,31.537201,74.923554,rice,2023-11-26,0.0,cached,0.1644,0.0816,images\AMR_0009_2023-11-26.npy,5,True,1.571,5.82
AMR_0010,Amritsar,31.585231,74.836029,rice,2023-11-18,0.0,cached,0.2706,0.1369,images\AMR_0010_2023-11-18.npy,5,True,2.24,3.08
AMR_0011,Amritsar,31.547052,74.768678,rice,2023-11-15,0.0,cached,0.1778,0.1087,images\AMR_0011_2023-11-15.npy,5,True,1.495,1.75
AMR_0012,Amritsar,31.681548,74.854703,rice,2023-11-05,0.0,cached,0.2309,0.1377,images\AMR_0012_2023-11-05.npy,5,True,2.104,5.08
AMR_0013,Amritsar,31.690074,74.819763,rice,2023-11-19,0.0,cached,0.1996,0.0892,images\AMR_0013_2023-11-19.npy,5,True,1.985,4.93
AMR_0014,Amritsar,31.602494,74.813032,rice,2023-11-22,0.0,cached,0.2889,0.131,images\AMR_0014_2023-11-22.npy,5,True,2.46,4.25
AMR_0015,Amritsar,31.533131,74.788274,rice,2023-11-21,0.0,cached,0.1968,0.0926,images\AMR_0015_2023-11-21.npy,5,True,1.633,4.83
AMR_0016,Amritsar,31.680158,74.929746,rice,2023-10-15,0.0,cached,0.3016,0.1433,images\AMR_0016_2023-10-15.npy,5,True,2.252,4.79
AMR_0017,Amritsar,31.622496,74.891548,rice,2023-10-16,0.0,cached,0.1587,0.1128,images\AMR_0017_2023-10-16.npy,5,True,1.52,1.13
AMR_0018,Amritsar,31.681153,74.864207,rice,2023-10-21,0.0,cached,0.2996,0.1336,images\AMR_0018_2023-10-21.npy,5,True,2.392,3.61
AMR_0019,Amritsar,31.7082,74.910021,rice,2023-11-10,0.0,cached,0.2134,0.1267,images\AMR_0019_2023-11-10.npy,5,True,1.559,3.58
AMR_0020,Amritsar,31.579106,74.740929,rice,2023-11-09,0.0,cached,0.163,0.1081,images\AMR_0020_2023-11-09.npy,5,True,1.178,2.9
AMR_0021,Amritsar,31.554084,74.846688,rice,2023-12-03,0.001891,planetary_computer,0.3544,0.1905,images\AMR_0021_2023-11-29.npy,5,True,2.857,1.79
AMR_0022,Amritsar,31.510325,74.811087,rice,2023-11-23,0.056008,planetary_computer,0.1375,0.0813,images\AMR_0022_2023-11-23.npy,5,True,1.147,2.11
AMR_0023,Amritsar,31.679337,74.888269,rice,2023-10-24,6e-05,planetary_computer,0.2138,0.1418,images\AMR_0023_2023-11-07.npy,5,True,1.735,4.15
AMR_0024,Amritsar,31.607788,74.960226,rice,2023-11-23,0.047505,planetary_computer,0.2747,0.1204,images\AMR_0024_2023-11-20.npy,5,True,2.16,1.42
AMR_0025,Amritsar,31.500359,74.757513,rice,2023-11-23,0.056008,planetary_computer,0.148,0.0836,images\AMR_0025_2023-11-19.npy,5,True,1.358,3.04
AMR_0026,Amritsar,31.539156,74.872593,rice,2023-11-13,0.777453,planetary_computer,0.1787,0.1246,images\AMR_0026_2023-11-17.npy,5,True,1.603,1.34
